distribucion,parametro_1,nombre_parametro_1,parametro_2,nombre_parametro_2,log_verosimilitud,AIC,delta_AIC
Lognormal,7.788691244723064,mu,0.7760857739027848,sigma,-8954.137546400332,17912.275092800664,0.0
Gamma,1.7920810581544622,forma k,1825.3962258653844,escala theta,-9007.215229224097,18018.430458448194,106.15536564752983
